Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
ΜΠΑΔΙΑ,ΔΠ,ΗΑ ΑΡΚΑΛΟΧΩΡΙ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΕΛ. ΒΕΝΙΖΕΛΟΥ 208,70300,28910-23700
ΜΠΑΘΙΖΑ ΠΟΥΛΑΙΩΝ,ΔΠ,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20200,27420-21090
ΜΠΑΚΑΙΙΚΑ,,ΚΙ ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 40,61100,23410-29454
ΜΠΑΚΑΡΙ,,ΠΠ ΠΑΤΡΑ 2,ΑΧΑΙΑΣ,ΑΚΡΩΤΗΡΙΟΥ 90,26500,2610-334863
ΜΠΑΛΑΙΙΚΑ,ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27061,26210-25791
ΜΠΑΛΑΙΙΚΑ,ΔΠ,ΘΚ ΚΟΥΦΑΛΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 23,57011,23910-54102
ΜΠΑΛΑΜΠΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73400,28210-92520
ΜΠΑΛΑΝΑ,,ΑΠ ΠΑΛΛΗΝΗ,ΑΤΤΙΚΗΣ,ΛΕΩΦΟΡΟΣ ΜΑΡΑΘΩΝΟΣ 46,15344,210-6664728 & 210-6664709
ΜΠΑΛΑΝΑΙΙΚΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23150,27310-28403
ΜΠΑΛΑΡΙΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73007,28210-92520
ΜΠΑΛΑΣ (ΑΧΑΙΑΣ),,ΠΒ ΠΑΤΡΑ 3,ΑΧΑΙΑΣ,Νέα Εθνική Οδός Πατρών Αθηνών 145,26500,"2610-422420, 2610-450189"
ΜΠΑΛΑΣ (ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,48300,26510-27074
ΜΠΑΛΙ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74052,28310-35535 & 26205
ΜΠΑΛΙ,ΔΠ,ΙΚ ΙΚΑΡΙΑ,ΣΑΜΟΥ,ΑΓΙΟΣ ΚΗΡΥΚΟΣ,83400,22750-22444
ΜΠΑΛΙΝΗ,ΔΠ,ΚΗ ΚΑΛΛΟΝΗ ΜΥΤΙΛΗΝΗΣ,ΛΕΣΒΟΥ,ΑΓΙΟΣ ΝΕΚΤΑΡΙΟΣ ΚΑΛΛΟΝΗΣ,81103,22530-22922
ΜΠΑΛΚΑΜΑΙΙΚΑ,ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25015,26930-22227 & 22207
ΜΠΑΛΟΔΗΜΑΙΙΚΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24001,27210-88271
ΜΠΑΛΤΑ,,ΘΟ ΜΟΝΑΣΤΗΡΙΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΜΟΝΑΣΤΗΡΙΟΥ 191,54627,2310-567462
ΜΠΑΛΤΟΥΜΑ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΜΠΑΜΠΑΙΙΚΑ ΚΑΛΥΒΙΑ,ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,22150,27510-61121
ΜΠΑΜΠΑΚΑΡΑΔΙΚΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,80100,27310-28403
ΜΠΑΜΠΑΚΟΥΛΑ,ΔΠ,ΜΣ ΜΕΣΟΛΟΓΓΙ,ΑΙΤΩΛ/ΝΙΑΣ,ΣΠΥΡΟΥ ΜΟΥΣΤΑΚΛΗ 8,30200,26310-26310
ΜΠΑΜΠΑΛΙΟ,ΔΠ,ΜΦ ΑΜΦΙΛΟΧΙΑ,ΑΙΤΩΛ/ΝΙΑΣ,ΝΙΚΟΛΑΟΥ ΣΤΡΑΤΟΥ 59,30017,26420-29055
ΜΠΑΜΠΙΝΗ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30009,26410-33141 & 26410-33241
ΜΠΑΝΤΣΑΙΙΚΑ,ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25015,26930-22227 & 22207
ΜΠΑΞΕΔΕΣ,ΔΠ,ΑΛ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,ΕΒΡΟΥ,ΝΙΚΟΜΗΔΕΙΑΣ & ΙΣΜΑΡΟΥ,68002,25510-31000
ΜΠΑΟΥΣΙΟΙ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΜΠΑΠΙΟΛΟΣ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73005,28210-92520
ΜΠΑΡΑ,,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42132,24310-20081 & 24310-72646
ΜΠΑΡΑΚΕΣ,ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25015,26930-22227 & 22207
ΜΠΑΡΑΚΙΤΙΚΑ,ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27061,26210-25791
ΜΠΑΡΑΜΠΑΤΙ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΜΠΑΡΓΙΑΜΑΓΑ,,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24132,27210-88271
ΜΠΑΡΔΑΚΙ,ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22007,2710-221806
ΜΠΑΡΛΑΙΙΚΑ,ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,22001,27510-61121
ΜΠΑΡΜΠΑΛΙΑΣ (ΝΗΣΙΔΑ),ΔΠ,ΚΗ ΚΑΛΛΟΝΗ ΜΥΤΙΛΗΝΗΣ,ΛΕΣΒΟΥ,ΑΓΙΟΣ ΝΕΚΤΑΡΙΟΣ ΚΑΛΛΟΝΗΣ,81104,22530-22922
ΜΠΑΡΜΠΑΤΙ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49083,26610-45791
ΜΠΑΡΜΠΟΥΤΑ,,ΒΡ ΒΕΡΟΙΑ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 50,59132,23310-75400
ΜΠΑΡΤΖΕΛΑΙΙΚΑ,ΔΠ,ΑΜ ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑΣ,Κουρογιαννοπούλου 16,27069,26220-23495
ΜΠΑΣΔΟΥΝΑΙΙΚΑ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30021,26410-33141 & 26410-33241
ΜΠΑΣΙΑ,ΔΠ,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42200,24310-20081 & 24310-72646
ΜΠΑΣΙΑΚΟΥ,,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22132,2710-221806
ΜΠΑΣΤΟΥΝΙ,,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49084,26610-45791
ΜΠΑΤΑΡΙΑΣ,,ΧΛ ΧΑΛΚΙΔΑ,ΕΥΒΟΙΑΣ,Γ. ΠΑΠΑΝΔΡΕΟΥ 4,34133,22210-73333 & 22210-21120
ΜΠΑΤΖΑ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΜΠΑΤΙΣΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73400,28210-92520
ΜΠΑΤΟΥΔΙΑΝΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,80100,27310-28403
ΜΠΑΤΣΗΣ Η ΜΠΑΤΣΙ,,ΣΛ ΣΑΛΑΜΙΝΑ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΣΑΛΑΜΙΝΟΣ 148,18900,210-4641006
ΜΠΑΤΣΙ,ΔΠ,ΝΔ ΑΝΔΡΟΣ,ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΑΝΔΡΟΥ,84501,22820-24143 & 22820-24144
ΜΠΑΦΙ,ΔΠ,ΒΨ ΑΓ. ΣΤΕΦΑΝΟΣ,ΑΤΤΙΚΗΣ,"ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ 61-63, ΑΝΟΙΞΗ",19015,210-6217440
ΜΠΑΦΡΑ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΜΠΕΓΟΥΛΑΚΙ,,ΠΠ ΠΑΤΡΑ 2,ΑΧΑΙΑΣ,ΑΚΡΩΤΗΡΙΟΥ 90,26334,2610-334863
ΜΠΕΚΑΤΩΡΑΤΑ,ΔΠ,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28081,26710-28002 & 26710-28028
ΜΠΕΚΙΑΝΙΚΑ,,ΚΟ ΚΟΡΙΝΘΟΣ,ΚΟΡΙΝΘΟΥ,ΑΡΓΟΥΣ 2,20150,27416-01020
ΜΠΕΛΕΣΑΙΙΚΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23052,27310-28403
ΜΠΕΛΙΤΣΑΙΙΚΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24022,27210-88271
ΜΠΕΛΟΚΟΜΙΤΗ,ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43150,24410-25983
ΜΠΕΜΠΟΝΑΣ,ΔΠ,ΣΤ ΣΗΤΕΙΑ,ΛΑΣΙΘΙΟΥ,ΑΝΘΕΩΝ 12,72055,28430-20997 & 20999
ΜΠΕΝΑΚΗΔΕΣ,ΔΠ,ΓΑ ΑΙΓΙΝΑ,ΑΤΤΙΚΗΣ,ΑΦΑΙΑΣ 31,18010,22970-29300
ΜΠΕΝΙΤΣΕΣ,,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49084,26610-45791
ΜΠΕΝΟΥ,ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,46300,26650-28111 & 26650-22987
ΜΠΕΝΟΥΔΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73004,28210-92520
ΜΠΕΡΔΕΜΙΑΡΟΣ,ΔΠ,ΤΝ ΤΗΝΟΣ,ΚΥΚΛΑΔΩΝ,25ης Μαρτίου και Ζανάκη Αλαβάνου,84200,22830-25583
ΜΠΕΡΚΑΙΙΚΑ,ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,22150,27510-61121
ΜΠΕΡΚΟ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΜΠΕΡΠΑΘΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73400,28210-92520
ΜΠΕΡΤΣΙΑ,ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22008,2710-221806
ΜΠΕΣΙΡΑΙΙΚΑ,,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22150,2710-221806
ΜΠΕΣΤΙΑ,ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,48300,26510-27074
ΜΠΙΣΑΙΙΚΑ,ΔΠ,ΠΟ ΠΟΡΟΣ,ΑΤΤΙΚΗΣ,"25ΗΣ ΜΑΡΤΙΟΥ 29, ΓΑΛΑΤΑΣ",18020,22980-43413
ΜΠΙΣΤΟΛΑΙΙΚΑ,ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22012,2710-221806
ΜΠΙΤΖΑΡΙΑΝΟ Η ΠΗΓΗ,ΔΠ,ΗΑ ΑΡΚΑΛΟΧΩΡΙ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΕΛ. ΒΕΝΙΖΕΛΟΥ 208,70006,28910-23700
ΜΠΛΕ ΛΙΜΑΝΑΚΙ,,ΣΛ ΣΑΛΑΜΙΝΑ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΣΑΛΑΜΙΝΟΣ 148,18900,210-4641006
ΜΠΛΕΜΕΝΙΑΝΟΙ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24500,27210-88271
ΜΠΛΕΤΑΙΙΚΑ,ΔΠ,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20006,27420-21090
ΜΠΛΕΤΣΙ,ΔΠ,ΜΦ ΑΜΦΙΛΟΧΙΑ,ΑΙΤΩΛ/ΝΙΑΣ,ΝΙΚΟΛΑΟΥ ΣΤΡΑΤΟΥ 59,30017,26420-29055
ΜΠΟΓΔΑΝΑΤΙΚΑ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49082,26610-45791
ΜΠΟΓΡΗ,ΔΠ,ΝΠ ΝΑΥΠΛΙΟ,ΑΡΓΟΛΙΔΑΣ,ΧΑΡ. ΤΡΙΚΟΥΠΗ 1 & ΤΕΝΕΔΟΥ,21052,27520-96160
ΜΠΟΖΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23052,27310-28403
ΜΠΟΖΑΙΙΚΑ,ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25200,26930-22227 & 22207
ΜΠΟΖΑΙΤΙΚΑ,,ΠΒ ΠΑΤΡΑ 3,ΑΧΑΙΑΣ,Νέα Εθνική Οδός Πατρών Αθηνών 145,26443,"2610-422420, 2610-450189"
ΜΠΟΖΙΚΑΙΙΚΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24001,27210-88271
ΜΠΟΖΙΚΑΣ,ΔΠ,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20500,27420-21090
ΜΠΟΖΙΟΝΕΛΑΙΙΚΑ,,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,21250,27510-61121
ΜΠΟΙΚΑΤΙΚΑ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49082,26610-45791
ΜΠΟΚΡΗ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30100,26410-33141 & 26410-33241
ΜΠΟΛΑΙΙΚΑ,ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,44002,26510-27074
ΜΠΟΛΑΤΙ,,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20006,27420-21090
ΜΠΟΜΠΟΛΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73005,28210-92520
ΜΠΟΝΑΤΣΑ,ΔΠ,ΜΛ ΜΗΛΟΣ,ΚΥΚΛΑΔΩΝ,ΑΔΑΜΑΝΤΑΣ ΜΗΛΟΥ,84004,22870-23232
ΜΠΟΡΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73005,28210-92520
ΜΠΟΡΣΑΣ,ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,21250,27510-61121
ΜΠΟΡΣΙ,ΔΠ,ΑΜ ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑΣ,Κουρογιαννοπούλου 16,27052,26220-23495
ΜΠΟΣΙ,ΔΠ,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25001,26910-68700
ΜΠΟΥΓΙΟΥΚΛΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73002,28210-92520
ΜΠΟΥΖΑ,,ΜΣ ΜΕΣΟΛΟΓΓΙ,ΑΙΤΩΛ/ΝΙΑΣ,ΣΠΥΡΟΥ ΜΟΥΣΤΑΚΛΗ 8,30400,26310-26310
ΜΠΟΥΖΑΙΙΚΑ,,ΚΔ ΚΡΑΝΙΔΙ,ΑΡΓΟΛΙΔΑΣ,ΑΓΙΟΥ ΧΑΡΑΛΑΜΠΟΥΣ 2,21300,27540-29377
ΜΠΟΥΖΑΛΑΔΕΣ Η ΑΝΩ ΔΑΣΚΑΛΕΙΟ,,ΒΖ ΛΑΥΡΙΟ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΑΘΗΝΩΝ 8-10,19001,22920-27555 & 22920-26980
ΜΠΟΥΖΑΛΑΙΙΚΑ,ΔΠ,ΑΜ ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑΣ,Κουρογιαννοπούλου 16,27069,26220-23495
ΜΠΟΥΖΑΝΑΙΙΚΑ,,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22012,2710-221806
ΜΠΟΥΖΙ,,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30100,26410-33141 & 26410-33241
ΜΠΟΥΚΑ (ΑΧΑΙΑΣ),ΔΠ,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25100,26910-68700
ΜΠΟΥΚΑ (ΗΛΕΙΑΣ),,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27150,26210-25791
ΜΠΟΥΚΑΡΗΣ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49080,26610-45791
ΜΠΟΥΚΚΑ,,ΜΦ ΑΜΦΙΛΟΧΙΑ,ΑΙΤΩΛ/ΝΙΑΣ,ΝΙΚΟΛΑΟΥ ΣΤΡΑΤΟΥ 59,30500,26420-29055
ΜΠΟΥΛΑΜΑΤΣΙΑ,,ΠΛ ΠΟΛΥΓΥΡΟΣ,ΧΑΛΚΙΔΙΚΗΣ,ΠΟΛΥΤΕΧΝΕΙΟΥ 23,63085,23710-23277
ΜΠΟΥΛΙΑΡΗΣ,ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22008,2710-221806
ΜΠΟΥΛΜΟΥ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΜΠΟΥΜΠΟΥΚΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24005,27210-88271
ΜΠΟΥΜΠΟΥΚΑΣ,ΔΠ,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25001,26910-68700
ΜΠΟΥΡΗΣ,ΔΠ,ΙΟ ΙΟΣ,ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΙΟΥ,84001,22860-91254
ΜΠΟΥΡΜΠΑΧΤΙ,,ΑΧ ΧΑΛΑΝΔΡΙ,ΑΤΤΙΚΗΣ,Αποστολοπούλου 14,15236,210-6892200
ΜΠΟΥΡΜΠΟΥΛΑΣ,ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27054,26210-25791
ΜΠΟΥΡΝΑΖΙ,,ΑΕ ΠΕΡΙΣΤΕΡΙ,ΑΤΤΙΚΗΣ,Παύλου Μελά 11,12133,210-5782111
ΜΠΟΥΡΝΙΑΣ (ΜΕΣΣΗΝΙΑΣ),,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24134,27210-88271
ΜΠΟΥΡΝΙΑΣ (ΜΕΣΣΗΝΙΑΣ),,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24134,27210-88271
ΜΠΟΥΡΝΙΑΣ (ΤΡΙΚΑΛΩΝ),ΔΠ,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42032,24310-20081 & 24310-72646
ΜΠΟΥΡΟΣ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34001,22230-29720
ΜΠΟΥΤΑΙΙΚΑ,ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25200,26930-22227 & 22207
ΜΠΟΥΤΣΑΙΙΚΑ,ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,22001,27510-61121
ΜΠΟΥΤΣΕΛΙΑΝΙΚΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23062,27310-28403
ΜΠΟΥΦΑΛΟ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34500,22230-29720
ΜΠΟΥΦΟΥΣΚΙΑ,,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25100,26910-68700
ΜΠΟΦΙΛΙΑ,,ΒΝ ΜΕΤΑΜΟΡΦΩΣΗ,ΑΤΤΙΚΗΣ,ΓΕΩΡΓΙΟΥ ΠΑΠΑΝΔΡΕΟΥ 175,14451,210-2835000
ΜΠΟΧΑΛΗ,,ΖΚ ΖΑΚΥΝΘΟΣ,ΖΑΚΥΝΘΟΥ,ΘΕΣΗ ΦΛΟΚΑ ΓΑΪΤΑΝΙΟΥ,29100,26950-29900
